token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
49167,NIFTY24DEC2513500PE,NIFTY,24DEC2025,1350000.000000,75,OPTIDX,NFO,5.000000
43852,NIFTY29JUN239500CE,NIFTY,29JUN2023,950000.000000,75,OPTIDX,NFO,5.000000
52025,NIFTY26AUG2114550PE,NIFTY,26AUG2021,1455000.000000,50,OPTIDX,NFO,5.000000
44044,NIFTY30DEC2112700PE,NIFTY,30DEC2021,1270000.000000,75,OPTIDX,NFO,5.000000
51190,NIFTY17JUN2113100PE,NIFTY,17JUN2021,1310000.000000,75,OPTIDX,NFO,5.000000
45033,NIFTY15JUL2116600CE,NIFTY,15JUL2021,1660000.000000,75,OPTIDX,NFO,5.000000
39408,NIFTY29JUL2117150PE,NIFTY,29JUL2021,1715000.000000,50,OPTIDX,NFO,5.000000
51193,NIFTY17JUN2113200CE,NIFTY,17JUN2021,1320000.000000,75,OPTIDX,NFO,5.000000
53923,NIFTY29JUL2115500CE,NIFTY,29JUL2021,1550000.000000,50,OPTIDX,NFO,5.000000
51343,NIFTY24JUN2115550CE,NIFTY,24JUN2021,1555000.000000,75,OPTIDX,NFO,5.000000
53863,NIFTY29JUL2114400CE,NIFTY,29JUL2021,1440000.000000,50,OPTIDX,NFO,5.000000
51363,NIFTY31MAR2214000CE,NIFTY,31MAR2022,1400000.000000,75,OPTIDX,NFO,5.000000
35104,NIFTY24DEC2511000CE,NIFTY,24DEC2025,1100000.000000,75,OPTIDX,NFO,5.000000
39508,NIFTY08JUL2116000CE,NIFTY,08JUL2021,1600000.000000,75,OPTIDX,NFO,5.000000
36890,NIFTY24JUN2116100CE,NIFTY,24JUN2021,1610000.000000,75,OPTIDX,NFO,5.000000
44192,NIFTY15JUL2116050CE,NIFTY,15JUL2021,1605000.000000,75,OPTIDX,NFO,5.000000
52725,NIFTY01JUL2116150PE,NIFTY,01JUL2021,1615000.000000,75,OPTIDX,NFO,5.000000
51882,NIFTY24JUN2116850PE,NIFTY,24JUN2021,1685000.000000,75,OPTIDX,NFO,5.000000
45804,NIFTY17JUN2116700CE,NIFTY,17JUN2021,1670000.000000,75,OPTIDX,NFO,5.000000
45887,NIFTY22JUL2116700CE,NIFTY,22JUL2021,1670000.000000,75,OPTIDX,NFO,5.000000
51387,NIFTY17JUN2114350CE,NIFTY,17JUN2021,1435000.000000,75,OPTIDX,NFO,5.000000
43638,NIFTY26DEC2411500CE,NIFTY,26DEC2024,1150000.000000,75,OPTIDX,NFO,5.000000
51214,NIFTY24JUN2113600CE,NIFTY,24JUN2021,1360000.000000,75,OPTIDX,NFO,5.000000
47491,NIFTY22JUL2115550CE,NIFTY,22JUL2021,1555000.000000,75,OPTIDX,NFO,5.000000
35206,NIFTY15JUL2116950CE,NIFTY,15JUL2021,1695000.000000,75,OPTIDX,NFO,5.000000
49976,NIFTY29DEC2212900PE,NIFTY,29DEC2022,1290000.000000,75,OPTIDX,NFO,5.000000
45982,NIFTY30DEC2110300PE,NIFTY,30DEC2021,1030000.000000,75,OPTIDX,NFO,5.000000
39404,NIFTY30JUN2213000PE,NIFTY,30JUN2022,1300000.000000,75,OPTIDX,NFO,5.000000
39305,NIFTY08JUL2113550CE,NIFTY,08JUL2021,1355000.000000,75,OPTIDX,NFO,5.000000
39755,NIFTY05AUG2116950PE,NIFTY,05AUG2021,1695000.000000,50,OPTIDX,NFO,5.000000
